Entry	Gene Names	Gene Ontology IDs	Gene Ontology (GO)
A0A1C3YIZ1	FGRAMPH1_01T04625	GO:0006493; GO:0097363	protein O-acetylglucosaminyltransferase activity [GO:0097363]; protein O-linked glycosylation [GO:0006493]
A0A1C3YIZ2	FGRAMPH1_01T06997	GO:0004865; GO:0005737; GO:0035556; GO:1900237; GO:1902472; GO:1905287	cytoplasm [GO:0005737]; protein serine/threonine phosphatase inhibitor activity [GO:0004865]; intracellular signal transduction [GO:0035556]; positive regulation of G2/M transition of mitotic cell cycle involved in cellular response to nitrogen starvation [GO:1905287]; positive regulation of induction of conjugation with cellular fusion [GO:1900237]; regulation of mitotic cytokinesis, division site positioning [GO:1902472]
A0A1C3YIZ5	FGRAMPH1_01T04737	GO:0004740; GO:0005524; GO:0005759; GO:0010906	mitochondrial matrix [GO:0005759]; ATP binding [GO:0005524]; pyruvate dehydrogenase (acetyl-transferring) kinase activity [GO:0004740]; regulation of glucose metabolic process [GO:0010906]
A0A1C3YIZ6	FGRAMPH1_01T06267	GO:0005737; GO:0012505; GO:0016020; GO:0034975	cytoplasm [GO:0005737]; endomembrane system [GO:0012505]; membrane [GO:0016020]; protein folding in endoplasmic reticulum [GO:0034975]
A0A1C3YIZ8	FGRAMPH1_01T06799	GO:0000165; GO:0004674; GO:0004712; GO:0005524	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; MAPK cascade [GO:0000165]
A0A1C3YJ07	FGRAMPH1_01T04767	GO:0004630; GO:0006654; GO:0009395; GO:0035556	phospholipase D activity [GO:0004630]; intracellular signal transduction [GO:0035556]; phosphatidic acid biosynthetic process [GO:0006654]; phospholipid catabolic process [GO:0009395]
A0A1C3YJ21	FGRAMPH1_01T04949	GO:0004784; GO:0005759; GO:0030145	mitochondrial matrix [GO:0005759]; manganese ion binding [GO:0030145]; superoxide dismutase activity [GO:0004784]
A0A1C3YJ26	FGRAMPH1_01T05943	GO:0004849; GO:0005524; GO:0044206	ATP binding [GO:0005524]; uridine kinase activity [GO:0004849]; UMP salvage [GO:0044206]
A0A1C3YJ29	FGRAMPH1_01T06731	GO:0003723; GO:0003724; GO:0005524; GO:0016787	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
A0A1C3YJ33	FGRAMPH1_01T07391	GO:0004185; GO:0005802; GO:0006508; GO:0006915	trans-Golgi network [GO:0005802]; serine-type carboxypeptidase activity [GO:0004185]; apoptotic process [GO:0006915]; proteolysis [GO:0006508]
A0A1C3YJ40	FGRAMPH1_01T06077	GO:0005737; GO:0008180	COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]
A0A1C3YJ62	FGRAMPH1_01T05875	GO:0000155; GO:0005886; GO:0009927	plasma membrane [GO:0005886]; histidine phosphotransfer kinase activity [GO:0009927]; phosphorelay sensor kinase activity [GO:0000155]
A0A1C3YJ65	FGRAMPH1_01T05659	GO:0032580; GO:0033320; GO:0042732; GO:0048040; GO:0070403	Golgi cisterna membrane [GO:0032580]; NAD+ binding [GO:0070403]; UDP-glucuronate decarboxylase activity [GO:0048040]; D-xylose metabolic process [GO:0042732]; UDP-D-xylose biosynthetic process [GO:0033320]
A0A1C3YJ70	FGRAMPH1_01T07909	GO:0005886; GO:0015225; GO:0015295; GO:1901604; GO:1905135	plasma membrane [GO:0005886]; biotin transmembrane transporter activity [GO:0015225]; dethiobiotin transmembrane transporter activity [GO:1901604]; solute:proton symporter activity [GO:0015295]; biotin import across plasma membrane [GO:1905135]
A0A1C3YJ90	FGRAMPH1_01T07749	GO:0004843; GO:0005634; GO:0005829; GO:0006508; GO:0016579	cytosol [GO:0005829]; nucleus [GO:0005634]; cysteine-type deubiquitinase activity [GO:0004843]; protein deubiquitination [GO:0016579]; proteolysis [GO:0006508]
A0A1C3YJA1	FGRAMPH1_01T05891	GO:0008721; GO:0009636; GO:0036088; GO:0046872	D-serine ammonia-lyase activity [GO:0008721]; metal ion binding [GO:0046872]; D-serine catabolic process [GO:0036088]; response to toxic substance [GO:0009636]
A0A1C3YJA6	FGRAMPH1_01T08715	GO:0004622; GO:0004623; GO:0005783; GO:0005829; GO:0046475	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; phosphatidylcholine lysophospholipase activity [GO:0004622]; phospholipase A2 activity [GO:0004623]; glycerophospholipid catabolic process [GO:0046475]
A0A1C3YJA8	FGRAMPH1_01T06001	GO:0000122; GO:0000278; GO:0003714; GO:0005634; GO:0006972; GO:0006974; GO:0017053; GO:0036033; GO:0042304; GO:0042393; GO:0042826; GO:0045944; GO:0080025; GO:2000879	nucleus [GO:0005634]; transcription repressor complex [GO:0017053]; histone binding [GO:0042393]; histone deacetylase binding [GO:0042826]; mediator complex binding [GO:0036033]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; transcription corepressor activity [GO:0003714]; DNA damage response [GO:0006974]; hyperosmotic response [GO:0006972]; mitotic cell cycle [GO:0000278]; negative regulation of dipeptide transport [GO:2000879]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of fatty acid biosynthetic process [GO:0042304]
A0A1C3YJC3	FGRAMPH1_01T06545	GO:0000151; GO:0031624; GO:0032182; GO:0045116; GO:0097602	ubiquitin ligase complex [GO:0000151]; cullin family protein binding [GO:0097602]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin-like protein binding [GO:0032182]; protein neddylation [GO:0045116]
A0A1C3YJC4	FGRAMPH1_01T07091	GO:0005789; GO:0015031; GO:0016788	endoplasmic reticulum membrane [GO:0005789]; hydrolase activity, acting on ester bonds [GO:0016788]; protein transport [GO:0015031]
A0A1C3YJC9	FGRAMPH1_01T07891	GO:0000289; GO:0000932; GO:0005634; GO:0006355; GO:0030015	CCR4-NOT core complex [GO:0030015]; nucleus [GO:0005634]; P-body [GO:0000932]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; regulation of DNA-templated transcription [GO:0006355]
A0A1C3YJD6	FGRAMPH1_01T06981	GO:0000742; GO:0001403; GO:0005829; GO:0005886; GO:0006887; GO:0006897; GO:0007124; GO:0030011; GO:0032541; GO:0032934; GO:0034727; GO:0035621; GO:0061709; GO:0097038; GO:0120015	cortical endoplasmic reticulum [GO:0032541]; cytosol [GO:0005829]; perinuclear endoplasmic reticulum [GO:0097038]; plasma membrane [GO:0005886]; sterol binding [GO:0032934]; sterol transfer activity [GO:0120015]; endocytosis [GO:0006897]; ER to Golgi ceramide transport [GO:0035621]; exocytosis [GO:0006887]; invasive growth in response to glucose limitation [GO:0001403]; karyogamy involved in conjugation with cellular fusion [GO:0000742]; maintenance of cell polarity [GO:0030011]; piecemeal microautophagy of the nucleus [GO:0034727]; pseudohyphal growth [GO:0007124]; reticulophagy [GO:0061709]
A0A1C3YJD7	FGRAMPH1_01T06503	GO:0004129; GO:0005743; GO:0006123; GO:0008270; GO:0033617; GO:0045277; GO:1990145	mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; zinc ion binding [GO:0008270]; maintenance of translational fidelity [GO:1990145]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; mitochondrial respiratory chain complex IV assembly [GO:0033617]
A0A1C3YJE2	FGRAMPH1_01T06707	GO:0005789; GO:0008204; GO:0034737	endoplasmic reticulum membrane [GO:0005789]; ergosterol O-acyltransferase activity [GO:0034737]; ergosterol metabolic process [GO:0008204]
A0A1C3YJF0	FGRAMPH1_01T06603	GO:0005524; GO:0016020; GO:0016887; GO:0140359	membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
A0A1C3YJF5	FGRAMPH1_01T07143	GO:0000155; GO:0005524; GO:0005886; GO:0007234	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; osmosensory signaling via phosphorelay pathway [GO:0007234]
A0A1C3YJF7	FGRAMPH1_01T16871	GO:0004623; GO:0005743; GO:0006654; GO:0035965; GO:0042171; GO:0055088	mitochondrial inner membrane [GO:0005743]; lysophosphatidic acid acyltransferase activity [GO:0042171]; phospholipase A2 activity [GO:0004623]; cardiolipin acyl-chain remodeling [GO:0035965]; lipid homeostasis [GO:0055088]; phosphatidic acid biosynthetic process [GO:0006654]
A0A1C3YJG0	FGRAMPH1_01T06679	GO:0000049; GO:0005737; GO:0030488; GO:0043528; GO:0160102	cytoplasm [GO:0005737]; tRNA (m2G10) methyltransferase complex [GO:0043528]; tRNA (guanine(10)-N2)-methyltransferase activity [GO:0160102]; tRNA binding [GO:0000049]; tRNA methylation [GO:0030488]
A0A1C3YJI2	FGRAMPH1_01T17383	GO:0005524; GO:0005743; GO:0012505; GO:0015421; GO:0016887; GO:0090374	endomembrane system [GO:0012505]; mitochondrial inner membrane [GO:0005743]; ABC-type oligopeptide transporter activity [GO:0015421]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; oligopeptide export from mitochondrion [GO:0090374]
A0A1C3YJI3	FGRAMPH1_01T16571	GO:0003777; GO:0005524; GO:0005874; GO:0007018; GO:0008017	microtubule [GO:0005874]; ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; microtubule-based movement [GO:0007018]
A0A1C3YJI5	FGRAMPH1_01T07523	GO:0003994; GO:0005634; GO:0005739; GO:0005829; GO:0006099; GO:0032543; GO:0046872; GO:0051539	cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; metal ion binding [GO:0046872]; mitochondrial translation [GO:0032543]; tricarboxylic acid cycle [GO:0006099]
A0A1C3YJI7	FGRAMPH1_01T07875	GO:0000492; GO:0003723; GO:0005634; GO:0008270	nucleus [GO:0005634]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]; box C/D snoRNP assembly [GO:0000492]
A0A1C3YJI8	FGRAMPH1_01T06985	GO:0005634; GO:0005737; GO:0008073; GO:0045732; GO:0075523	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ornithine decarboxylase inhibitor activity [GO:0008073]; positive regulation of protein catabolic process [GO:0045732]; viral translational frameshifting [GO:0075523]
A0A1C3YJK6	FGRAMPH1_01T17645	GO:0000723; GO:0003684; GO:0004519; GO:0005634; GO:0006303; GO:0006310; GO:0035312; GO:0036297	nucleus [GO:0005634]; 5'-3' DNA exonuclease activity [GO:0035312]; damaged DNA binding [GO:0003684]; endonuclease activity [GO:0004519]; DNA recombination [GO:0006310]; double-strand break repair via nonhomologous end joining [GO:0006303]; interstrand cross-link repair [GO:0036297]; telomere maintenance [GO:0000723]
A0A1C3YJL2	FGRAMPH1_01T17573	GO:0000324; GO:0005247; GO:0005769; GO:0005783; GO:0005794; GO:0005886; GO:0006878; GO:0006879	early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; fungal-type vacuole [GO:0000324]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; voltage-gated chloride channel activity [GO:0005247]; intracellular copper ion homeostasis [GO:0006878]; intracellular iron ion homeostasis [GO:0006879]
A0A1C3YJL7	FGRAMPH1_01T17277	GO:0005524; GO:0005971; GO:0006235; GO:0006240; GO:0046704; GO:0051063	ribonucleoside-diphosphate reductase complex [GO:0005971]; ATP binding [GO:0005524]; CDP reductase activity [GO:0051063]; CDP metabolic process [GO:0046704]; dCDP biosynthetic process [GO:0006240]; dTTP biosynthetic process [GO:0006235]
A0A1C3YJL9	FGRAMPH1_01T08473	GO:0005507; GO:0005886; GO:0008131; GO:0009308; GO:0048038	plasma membrane [GO:0005886]; copper ion binding [GO:0005507]; primary methylamine oxidase activity [GO:0008131]; quinone binding [GO:0048038]; amine metabolic process [GO:0009308]
A0A1C3YJM5	FGRAMPH1_01T17029	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]
A0A1C3YJM7	FGRAMPH1_01T08679	GO:0005507; GO:0005886; GO:0008131; GO:0009308; GO:0048038	plasma membrane [GO:0005886]; copper ion binding [GO:0005507]; primary methylamine oxidase activity [GO:0008131]; quinone binding [GO:0048038]; amine metabolic process [GO:0009308]
A0A1C3YJP0	FGRAMPH1_01T17413	GO:0000049; GO:0002098; GO:0005634; GO:0005829; GO:0033588	cytosol [GO:0005829]; elongator holoenzyme complex [GO:0033588]; nucleus [GO:0005634]; tRNA binding [GO:0000049]; tRNA wobble uridine modification [GO:0002098]
A0A1C3YJP1	FGRAMPH1_01T07959	GO:0004674; GO:0005524; GO:0005737	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
A0A1C3YJQ6	FGRAMPH1_01T18303	GO:0005634; GO:0006281; GO:0016226; GO:0051604; GO:0097361	cytosolic [4Fe-4S] assembly targeting complex [GO:0097361]; nucleus [GO:0005634]; DNA repair [GO:0006281]; iron-sulfur cluster assembly [GO:0016226]; protein maturation [GO:0051604]
A0A1C3YJQ8	FGRAMPH1_01T18297	GO:0005524; GO:0005778; GO:0005829; GO:0016558; GO:0016887	cytosol [GO:0005829]; peroxisomal membrane [GO:0005778]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; protein import into peroxisome matrix [GO:0016558]
A0A1C3YJR3	FGRAMPH1_01T18365	GO:0003677; GO:0003899; GO:0005736; GO:0006361; GO:0006362; GO:0006363; GO:0008270; GO:0032549	RNA polymerase I complex [GO:0005736]; DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]; zinc ion binding [GO:0008270]; termination of RNA polymerase I transcription [GO:0006363]; transcription elongation by RNA polymerase I [GO:0006362]; transcription initiation at RNA polymerase I promoter [GO:0006361]
A0A1C3YJS7	FGRAMPH1_01T18403	GO:0000278; GO:0000922; GO:0000930; GO:0005874; GO:0007020; GO:0031122; GO:0043015; GO:0044732; GO:0051011; GO:0051225; GO:0051321	gamma-tubulin complex [GO:0000930]; microtubule [GO:0005874]; mitotic spindle pole body [GO:0044732]; spindle pole [GO:0000922]; gamma-tubulin binding [GO:0043015]; microtubule minus-end binding [GO:0051011]; cytoplasmic microtubule organization [GO:0031122]; meiotic cell cycle [GO:0051321]; microtubule nucleation [GO:0007020]; mitotic cell cycle [GO:0000278]; spindle assembly [GO:0051225]
A0A1C3YJT9	FGRAMPH1_01T18457	GO:0002953; GO:0005737; GO:0009159; GO:0046872	cytoplasm [GO:0005737]; 5'-deoxynucleotidase activity [GO:0002953]; metal ion binding [GO:0046872]; deoxyribonucleoside monophosphate catabolic process [GO:0009159]
A0A1C3YJU4	FGRAMPH1_01T18219	GO:0005634; GO:0005737; GO:0008270; GO:0034657; GO:0043161; GO:0061630	cytoplasm [GO:0005737]; GID complex [GO:0034657]; nucleus [GO:0005634]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
A0A1C3YJV4	FGRAMPH1_01T18433	GO:0000445; GO:0003729; GO:0006397; GO:0006406	THO complex part of transcription export complex [GO:0000445]; mRNA binding [GO:0003729]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]
A0A1C3YJW4	FGRAMPH1_01T18573	GO:0004795; GO:0009088	threonine synthase activity [GO:0004795]; threonine biosynthetic process [GO:0009088]
A0A1C3YJW7	CLP1 FGRAMPH1_01T16833	GO:0005524; GO:0005849; GO:0006388; GO:0031124; GO:0051731	mRNA cleavage factor complex [GO:0005849]; ATP binding [GO:0005524]; polynucleotide 5'-hydroxyl-kinase activity [GO:0051731]; mRNA 3'-end processing [GO:0031124]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]
A0A1C3YJX7	FGRAMPH1_01T19253	GO:0000155; GO:0005524; GO:0005886; GO:0009927	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; histidine phosphotransfer kinase activity [GO:0009927]; phosphorelay sensor kinase activity [GO:0000155]
A0A1C3YJZ0	FGRAMPH1_01T16903	GO:0005634; GO:0005829; GO:0005975; GO:0046168; GO:0051287; GO:0141152	cytosol [GO:0005829]; nucleus [GO:0005634]; glycerol-3-phosphate dehydrogenase (NAD+) activity [GO:0141152]; NAD binding [GO:0051287]; carbohydrate metabolic process [GO:0005975]; glycerol-3-phosphate catabolic process [GO:0046168]
A0A1C3YJZ2	FGRAMPH1_01T19355	GO:0000124; GO:0003677; GO:0005669; GO:0017025; GO:0046982; GO:0051123	SAGA complex [GO:0000124]; transcription factor TFIID complex [GO:0005669]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; TBP-class protein binding [GO:0017025]; RNA polymerase II preinitiation complex assembly [GO:0051123]
A0A1C3YJZ7	FGRAMPH1_01T19391	GO:0000293; GO:0005886; GO:0006826; GO:0006879; GO:0015677	plasma membrane [GO:0005886]; ferric-chelate reductase activity [GO:0000293]; copper ion import [GO:0015677]; intracellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826]
A0A1C3YK00	FGRAMPH1_01T19447	GO:0004843; GO:0016579; GO:0043161; GO:0061136; GO:0070628	cysteine-type deubiquitinase activity [GO:0004843]; proteasome binding [GO:0070628]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; regulation of proteasomal protein catabolic process [GO:0061136]
A0A1C3YK01	FGRAMPH1_01T19463	GO:0000124; GO:0005634; GO:0006281; GO:0006355; GO:0035267	NuA4 histone acetyltransferase complex [GO:0035267]; nucleus [GO:0005634]; SAGA complex [GO:0000124]; DNA repair [GO:0006281]; regulation of DNA-templated transcription [GO:0006355]
A0A1C3YK06	FGRAMPH1_01T19631	GO:0000278; GO:0000922; GO:0000930; GO:0005874; GO:0007020; GO:0031122; GO:0043015; GO:0044732; GO:0051011; GO:0051225; GO:0051321	gamma-tubulin complex [GO:0000930]; microtubule [GO:0005874]; mitotic spindle pole body [GO:0044732]; spindle pole [GO:0000922]; gamma-tubulin binding [GO:0043015]; microtubule minus-end binding [GO:0051011]; cytoplasmic microtubule organization [GO:0031122]; meiotic cell cycle [GO:0051321]; microtubule nucleation [GO:0007020]; mitotic cell cycle [GO:0000278]; spindle assembly [GO:0051225]
A0A1C3YK11	FGRAMPH1_01T19763	GO:0005524; GO:0005759; GO:0042026; GO:0044183; GO:0045041; GO:0046872; GO:0051082; GO:0051087; GO:0051131	mitochondrial matrix [GO:0005759]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein folding chaperone [GO:0044183]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]; chaperone-mediated protein complex assembly [GO:0051131]; protein import into mitochondrial intermembrane space [GO:0045041]; protein refolding [GO:0042026]
A0A1C3YK17	FGRAMPH1_01T19641	GO:0004190; GO:0005737; GO:0006508	cytoplasm [GO:0005737]; aspartic-type endopeptidase activity [GO:0004190]; proteolysis [GO:0006508]
A0A1C3YK21	FGRAMPH1_01T19673	GO:0003690; GO:0003697; GO:0004527; GO:0005634; GO:0006265; GO:0006284; GO:0017005; GO:0106334	nucleus [GO:0005634]; 3'-deoxyribose phosphate lyase activity [GO:0106334]; 3'-tyrosyl-DNA phosphodiesterase activity [GO:0017005]; double-stranded DNA binding [GO:0003690]; exonuclease activity [GO:0004527]; single-stranded DNA binding [GO:0003697]; base-excision repair [GO:0006284]; DNA topological change [GO:0006265]
A0A1C3YK27	FGRAMPH1_01T17387	GO:0000723; GO:0000724; GO:0005730; GO:0006289; GO:0030896; GO:0031573; GO:0033314; GO:0035861; GO:0044778; GO:0140445	checkpoint clamp complex [GO:0030896]; chromosome, telomeric repeat region [GO:0140445]; nucleolus [GO:0005730]; site of double-strand break [GO:0035861]; double-strand break repair via homologous recombination [GO:0000724]; meiotic DNA integrity checkpoint signaling [GO:0044778]; mitotic DNA replication checkpoint signaling [GO:0033314]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]; nucleotide-excision repair [GO:0006289]; telomere maintenance [GO:0000723]
A0A1C3YK30	FGRAMPH1_01T17511	GO:0000502; GO:0004866; GO:0005783; GO:0043161; GO:0070628	endoplasmic reticulum [GO:0005783]; proteasome complex [GO:0000502]; endopeptidase inhibitor activity [GO:0004866]; proteasome binding [GO:0070628]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
A0A1C3YK33	FGRAMPH1_01T19927	GO:0000272; GO:0000324; GO:0004339; GO:2001070	fungal-type vacuole [GO:0000324]; glucan 1,4-alpha-glucosidase activity [GO:0004339]; starch binding [GO:2001070]; polysaccharide catabolic process [GO:0000272]
A0A1C3YK35	FGRAMPH1_01T17975	GO:0000171; GO:0000172; GO:0004526; GO:0005655; GO:0005829; GO:0006364; GO:0008033; GO:0034965	cytosol [GO:0005829]; nucleolar ribonuclease P complex [GO:0005655]; ribonuclease MRP complex [GO:0000172]; ribonuclease MRP activity [GO:0000171]; ribonuclease P activity [GO:0004526]; intronic box C/D snoRNA processing [GO:0034965]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]
A0A1C3YK47	FGRAMPH1_01T18087	GO:0005739; GO:0008324; GO:0016020; GO:0030003; GO:0098771	membrane [GO:0016020]; mitochondrion [GO:0005739]; monoatomic cation transmembrane transporter activity [GO:0008324]; inorganic ion homeostasis [GO:0098771]; intracellular monoatomic cation homeostasis [GO:0030003]
A0A1C3YK48	FGRAMPH1_01T19955	GO:0000122; GO:0000785; GO:0000978; GO:0005634; GO:0017053; GO:0031490	chromatin [GO:0000785]; nucleus [GO:0005634]; transcription repressor complex [GO:0017053]; chromatin DNA binding [GO:0031490]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; negative regulation of transcription by RNA polymerase II [GO:0000122]
A0A1C3YK54	FGRAMPH1_01T18233	GO:0000329; GO:0005524; GO:0016887; GO:0042592; GO:0140359	fungal-type vacuole membrane [GO:0000329]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; homeostatic process [GO:0042592]
A0A1C3YK57	FGRAMPH1_01T18209	GO:0005737; GO:0016925; GO:0019948; GO:0031510	cytoplasm [GO:0005737]; SUMO activating enzyme complex [GO:0031510]; SUMO activating enzyme activity [GO:0019948]; protein sumoylation [GO:0016925]
A0A1C3YK58	FGRAMPH1_01T20357	GO:0004069; GO:0005739; GO:0006533; GO:0030170	mitochondrion [GO:0005739]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; pyridoxal phosphate binding [GO:0030170]; L-aspartate catabolic process [GO:0006533]
A0A1C3YK63	FGRAMPH1_01T20193	GO:0000137; GO:0000139; GO:0005783; GO:0005829; GO:0006888; GO:0030134; GO:0042147	COPII-coated ER to Golgi transport vesicle [GO:0030134]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; Golgi cis cisterna [GO:0000137]; Golgi membrane [GO:0000139]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; retrograde transport, endosome to Golgi [GO:0042147]
A0A1C3YK66	FGRAMPH1_01T20275	GO:0000209; GO:0061630	ubiquitin protein ligase activity [GO:0061630]; protein polyubiquitination [GO:0000209]
A0A1C3YK68	FGRAMPH1_01T20299	GO:0000049; GO:0002161; GO:0004822; GO:0005524; GO:0005829; GO:0006428; GO:1990825	cytosol [GO:0005829]; aminoacyl-tRNA deacylase activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; sequence-specific mRNA binding [GO:1990825]; tRNA binding [GO:0000049]; isoleucyl-tRNA aminoacylation [GO:0006428]
A0A1C3YK76	FGRAMPH1_01T18549	GO:0006021; GO:0007165; GO:0008934; GO:0046854; GO:0046872	inositol monophosphate 1-phosphatase activity [GO:0008934]; metal ion binding [GO:0046872]; inositol biosynthetic process [GO:0006021]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; signal transduction [GO:0007165]
A0A1C3YK82	FGRAMPH1_01T18547	GO:0005524; GO:0005634; GO:0006298; GO:0007131; GO:0030983; GO:0140664	nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP-dependent DNA damage sensor activity [GO:0140664]; mismatched DNA binding [GO:0030983]; mismatch repair [GO:0006298]; reciprocal meiotic recombination [GO:0007131]
A0A1C3YK88	FGRAMPH1_01T18309	GO:0000785; GO:0003899; GO:0005666; GO:0006384; GO:0006386; GO:0042797	chromatin [GO:0000785]; RNA polymerase III complex [GO:0005666]; DNA-directed RNA polymerase activity [GO:0003899]; termination of RNA polymerase III transcription [GO:0006386]; transcription initiation at RNA polymerase III promoter [GO:0006384]; tRNA transcription by RNA polymerase III [GO:0042797]
A0A1C3YK90	FGRAMPH1_01T18601	GO:0000266; GO:0003924; GO:0005525; GO:0005739; GO:0005874; GO:0006897; GO:0008017; GO:0016020; GO:0016559; GO:0048312	membrane [GO:0016020]; microtubule [GO:0005874]; mitochondrion [GO:0005739]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; microtubule binding [GO:0008017]; endocytosis [GO:0006897]; intracellular distribution of mitochondria [GO:0048312]; mitochondrial fission [GO:0000266]; peroxisome fission [GO:0016559]
A0A1C3YK93	FGRAMPH1_01T20799	GO:0000166; GO:0016020; GO:0016263	membrane [GO:0016020]; glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity [GO:0016263]; nucleotide binding [GO:0000166]
A0A1C3YK95	FGRAMPH1_01T20895	GO:0004497; GO:0004601; GO:0005506; GO:0006631; GO:0006979; GO:0016705; GO:0020037; GO:0051213	dioxygenase activity [GO:0051213]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; peroxidase activity [GO:0004601]; fatty acid metabolic process [GO:0006631]; response to oxidative stress [GO:0006979]
A0A1C3YKB7	FGRAMPH1_01T18861	GO:0004029; GO:0046394	aldehyde dehydrogenase (NAD+) activity [GO:0004029]; carboxylic acid biosynthetic process [GO:0046394]
A0A1C3YKB8	FGRAMPH1_01T20707	GO:0000815; GO:0005771; GO:0006900; GO:0015031; GO:0032511	ESCRT III complex [GO:0000815]; multivesicular body [GO:0005771]; late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; protein transport [GO:0015031]; vesicle budding from membrane [GO:0006900]
A0A1C3YKC2	FGRAMPH1_01T20933	GO:0000981; GO:0003677; GO:0005634; GO:0006351; GO:0008270	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]
A0A1C3YKC7	FGRAMPH1_01T19057	GO:0004825; GO:0005524; GO:0005739; GO:0006431; GO:0016747	mitochondrion [GO:0005739]; acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; ATP binding [GO:0005524]; methionine-tRNA ligase activity [GO:0004825]; methionyl-tRNA aminoacylation [GO:0006431]
A0A1C3YKF0	FGRAMPH1_01T21579	GO:0005524; GO:0016020; GO:0016887; GO:0140359	membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
