Entry	Gene Names	Gene Ontology IDs	Gene Ontology (GO)
I1RJR2	CYP51A FG04092 FGRAMPH1_01T14465	GO:0005506; GO:0005789; GO:0008398; GO:0016126; GO:0020037	endoplasmic reticulum membrane [GO:0005789]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; sterol 14-demethylase activity [GO:0008398]; sterol biosynthetic process [GO:0016126]
I1RK93	FG04287.1 FGRAMPH1_01T14925	GO:0003855; GO:0003856; GO:0003866; GO:0004764; GO:0004765; GO:0005524; GO:0005737; GO:0008652; GO:0009073; GO:0009423; GO:0046872	cytoplasm [GO:0005737]; 3-dehydroquinate dehydratase activity [GO:0003855]; 3-dehydroquinate synthase activity [GO:0003856]; 3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; shikimate 3-dehydrogenase (NADP+) activity [GO:0004764]; shikimate kinase activity [GO:0004765]; amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]
I1RL14	dpfgD FG04591 FGRAMPH1_01T15653	GO:0004161; GO:0004311; GO:0004337; GO:0016114; GO:0043386; GO:0046165; GO:0046872	(2E,6E)-farnesyl diphosphate synthase activity [GO:0004337]; dimethylallyltranstransferase activity [GO:0004161]; geranylgeranyl diphosphate synthase activity [GO:0004311]; metal ion binding [GO:0046872]; alcohol biosynthetic process [GO:0046165]; mycotoxin biosynthetic process [GO:0043386]; terpenoid biosynthetic process [GO:0016114]
I1RM49	FG05028.1 cnxF uba4 FGRAMPH1_01T16915	GO:0001403; GO:0002143; GO:0004792; GO:0005524; GO:0005829; GO:0006777; GO:0007114; GO:0032447; GO:0034599; GO:0042292; GO:0042802; GO:0046872; GO:0061604; GO:0061605; GO:2000220	cytosol [GO:0005829]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; molybdopterin-synthase adenylyltransferase activity [GO:0061605]; molybdopterin-synthase sulfurtransferase activity [GO:0061604]; thiosulfate-cyanide sulfurtransferase activity [GO:0004792]; URM1 activating enzyme activity [GO:0042292]; cell budding [GO:0007114]; cellular response to oxidative stress [GO:0034599]; invasive growth in response to glucose limitation [GO:0001403]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]; protein urmylation [GO:0032447]; regulation of pseudohyphal growth [GO:2000220]; tRNA wobble position uridine thiolation [GO:0002143]
I1RMW9	FG05322.1 FGRAMPH1_01T17619	GO:0004312; GO:0004313; GO:0004314; GO:0004318; GO:0004321; GO:0005835; GO:0006633; GO:0016297; GO:0019171	fatty acid synthase complex [GO:0005835]; (3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity [GO:0019171]; [acyl-carrier-protein] S-acetyltransferase activity [GO:0004313]; [acyl-carrier-protein] S-malonyltransferase activity [GO:0004314]; enoyl-[acyl-carrier-protein] reductase (NADH) activity [GO:0004318]; fatty acid synthase activity [GO:0004312]; fatty acyl-[ACP] hydrolase activity [GO:0016297]; fatty-acyl-CoA synthase activity [GO:0004321]; fatty acid biosynthetic process [GO:0006633]
I1RNG8	ATG1 FG05547 FGRAMPH1_01T18179	GO:0000045; GO:0000421; GO:0000422; GO:0004674; GO:0005524; GO:0005829; GO:0006995; GO:0010506; GO:0015031; GO:0034045; GO:0034727; GO:0051365; GO:0061709; GO:0061908; GO:0106310; GO:0120095; GO:1990316	Atg1/ULK1 kinase complex [GO:1990316]; autophagosome membrane [GO:0000421]; cytosol [GO:0005829]; phagophore [GO:0061908]; phagophore assembly site membrane [GO:0034045]; vacuole-isolation membrane contact site [GO:0120095]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422]; cellular response to nitrogen starvation [GO:0006995]; cellular response to potassium ion starvation [GO:0051365]; piecemeal microautophagy of the nucleus [GO:0034727]; protein transport [GO:0015031]; regulation of autophagy [GO:0010506]; reticulophagy [GO:0061709]
I1RZ20	FG09638.1 FGRAMPH1_01T26617	GO:0004070; GO:0004087; GO:0004088; GO:0004359; GO:0005524; GO:0005951; GO:0006207; GO:0006526; GO:0006541; GO:0016597; GO:0044205; GO:0046872	carbamoyl-phosphate synthase complex [GO:0005951]; amino acid binding [GO:0016597]; aspartate carbamoyltransferase activity [GO:0004070]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; glutaminase activity [GO:0004359]; metal ion binding [GO:0046872]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; glutamine metabolic process [GO:0006541]; L-arginine biosynthetic process [GO:0006526]
I1S489	FG00037 FGRAMPH1_01T00131 FGSG_11656	GO:0004312; GO:0004313; GO:0004314; GO:0004318; GO:0004321; GO:0005835; GO:0006633; GO:0016297; GO:0019171	fatty acid synthase complex [GO:0005835]; (3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity [GO:0019171]; [acyl-carrier-protein] S-acetyltransferase activity [GO:0004313]; [acyl-carrier-protein] S-malonyltransferase activity [GO:0004314]; enoyl-[acyl-carrier-protein] reductase (NADH) activity [GO:0004318]; fatty acid synthase activity [GO:0004312]; fatty acyl-[ACP] hydrolase activity [GO:0016297]; fatty-acyl-CoA synthase activity [GO:0004321]; fatty acid biosynthetic process [GO:0006633]
I1S9X9	ATG9 FGRAMPH1_01T26133	GO:0000139; GO:0000421; GO:0000422; GO:0005085; GO:0005774; GO:0005789; GO:0006869; GO:0016236; GO:0030659; GO:0034045; GO:0034497; GO:0034727; GO:0061709; GO:1905691	autophagosome membrane [GO:0000421]; cytoplasmic vesicle membrane [GO:0030659]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; phagophore assembly site membrane [GO:0034045]; vacuolar membrane [GO:0005774]; guanyl-nucleotide exchange factor activity [GO:0005085]; autophagy of mitochondrion [GO:0000422]; lipid droplet disassembly [GO:1905691]; lipid transport [GO:0006869]; macroautophagy [GO:0016236]; piecemeal microautophagy of the nucleus [GO:0034727]; protein localization to phagophore assembly site [GO:0034497]; reticulophagy [GO:0061709]
Q4IEV4	ESA1 FGRRES_04254 FGSG_04254	GO:0000812; GO:0003682; GO:0003712; GO:0005721; GO:0006281; GO:0006357; GO:0008270; GO:0031453; GO:0035267; GO:0035861; GO:0044016; GO:0106226; GO:0140064; GO:0140065; GO:0140861	NuA4 histone acetyltransferase complex [GO:0035267]; pericentric heterochromatin [GO:0005721]; site of double-strand break [GO:0035861]; Swr1 complex [GO:0000812]; chromatin binding [GO:0003682]; histone H3K4 acetyltransferase activity [GO:0044016]; peptide 2-hydroxyisobutyryltransferase activity [GO:0106226]; peptide butyryltransferase activity [GO:0140065]; peptide crotonyltransferase activity [GO:0140064]; transcription coregulator activity [GO:0003712]; zinc ion binding [GO:0008270]; DNA repair [GO:0006281]; DNA repair-dependent chromatin remodeling [GO:0140861]; positive regulation of heterochromatin formation [GO:0031453]; regulation of transcription by RNA polymerase II [GO:0006357]
